,Pclass,Sex,Age,Embarked,Survived,Fare
754,2,female,48.0,S,1,65.0
755,2,male,2.5,S,1,14.5
756,3,male,28.0,S,0,7.7958
757,2,male,18.0,S,0,11.5
758,3,male,34.0,S,0,8.05
759,1,female,33.0,S,1,65.6344
760,3,male,29.0,S,0,14.5
761,3,male,41.0,S,0,7.125
762,3,male,20.0,C,1,7.2292
763,1,female,36.0,S,1,65.6344
764,3,male,16.0,S,0,7.775
765,1,female,51.0,S,1,65.6344
766,1,male,29.0,C,0,39.6
767,3,female,30.0,Q,0,7.75
768,3,male,29.0,Q,0,24.15
769,3,male,32.0,S,0,8.3625
770,3,male,24.0,S,0,9.5
771,3,male,48.0,S,0,7.8542
772,2,female,54.5,S,0,10.5
773,3,male,29.0,C,0,7.225
774,2,female,54.0,S,1,23.0
775,3,male,18.0,S,0,7.75
776,3,male,29.0,Q,0,7.75
777,3,female,5.0,S,1,12.475
778,3,male,29.0,Q,0,7.7375
779,1,female,43.0,S,1,65.6344
780,3,female,13.0,C,1,7.2292
781,1,female,17.0,S,1,57.0
782,1,male,29.0,S,0,30.0
783,3,male,29.0,S,0,23.45
784,3,male,25.0,S,0,7.05
785,3,male,25.0,S,0,7.25
786,3,female,18.0,S,1,7.4958
787,3,male,8.0,Q,0,29.125
788,3,male,2.5,S,1,20.575
789,1,male,46.0,C,0,65.6344
790,3,male,29.0,Q,0,7.75
791,2,male,16.0,S,0,26.0
792,3,female,29.0,S,0,65.6344
793,1,male,29.0,C,0,30.6958
794,3,male,25.0,S,0,7.8958
795,2,male,39.0,S,0,13.0
796,1,female,49.0,S,1,25.9292
797,3,female,31.0,S,1,8.6833
798,3,male,30.0,C,0,7.2292
799,3,female,30.0,S,0,24.15
800,2,male,34.0,S,0,13.0
801,2,female,31.0,S,1,26.25
802,1,male,11.0,S,1,65.6344
803,3,male,2.5,C,1,8.5167
804,3,male,27.0,S,1,6.975
805,3,male,31.0,S,0,7.775
806,1,male,39.0,S,0,0.0
807,3,female,18.0,S,0,7.775
808,2,male,39.0,S,0,13.0
809,1,female,33.0,S,1,53.1
810,3,male,26.0,S,0,7.8875
811,3,male,39.0,S,0,24.15
812,2,male,35.0,S,0,10.5
813,3,female,6.0,S,0,31.275
814,3,male,30.0,S,0,8.05
815,1,male,29.0,S,0,0.0
816,3,female,23.0,S,0,7.925
817,2,male,31.0,C,0,37.0042
818,3,male,43.0,S,0,6.45
819,3,male,10.0,S,0,27.9
820,1,female,52.0,S,1,65.6344
821,3,male,27.0,S,1,8.6625
822,1,male,38.0,S,0,0.0
823,3,female,27.0,S,1,12.475
824,3,male,2.5,S,0,39.6875
825,3,male,29.0,Q,0,6.95
826,3,male,29.0,S,0,56.4958
827,2,male,2.5,C,1,37.0042
828,3,male,29.0,Q,1,7.75
829,1,female,54.5,S,1,65.6344
830,3,female,15.0,C,1,14.4542
831,2,male,2.5,S,1,18.75
832,3,male,29.0,C,0,7.2292
833,3,male,23.0,S,0,7.8542
834,3,male,18.0,S,0,8.3
835,1,female,39.0,C,1,65.6344
836,3,male,21.0,S,0,8.6625
837,3,male,29.0,S,0,8.05
838,3,male,32.0,S,1,56.4958
839,1,male,29.0,C,1,29.7
840,3,male,20.0,S,0,7.925
841,2,male,16.0,S,0,10.5
842,1,female,30.0,C,1,31.0
843,3,male,34.0,C,0,6.4375
844,3,male,17.0,S,0,8.6625
845,3,male,42.0,S,0,7.55
846,3,male,29.0,S,0,65.6344
847,3,male,35.0,C,0,7.8958
848,2,male,28.0,S,0,33.0
849,1,female,29.0,C,1,65.6344
850,3,male,4.0,S,0,31.275
851,3,male,54.5,S,0,7.775
852,3,female,9.0,C,0,15.2458
853,1,female,16.0,S,1,39.4
854,2,female,44.0,S,0,26.0
855,3,female,18.0,S,1,9.35
856,1,female,45.0,S,1,65.6344
857,1,male,51.0,S,1,26.55
858,3,female,24.0,C,1,19.2583
859,3,male,29.0,C,0,7.2292
860,3,male,41.0,S,0,14.1083
861,2,male,21.0,S,0,11.5
862,1,female,48.0,S,1,25.9292
863,3,female,29.0,S,0,65.6344
864,2,male,24.0,S,0,13.0
865,2,female,42.0,S,1,13.0
866,2,female,27.0,C,1,13.8583
867,1,male,31.0,S,0,50.4958
868,3,male,29.0,S,0,9.5
869,3,male,4.0,S,1,11.1333
870,3,male,26.0,S,0,7.8958
871,1,female,47.0,S,1,52.5542
872,1,male,33.0,S,0,5.0
873,3,male,47.0,S,0,9.0
874,2,female,28.0,C,1,24.0
875,3,female,15.0,C,1,7.225
876,3,male,20.0,S,0,9.8458
877,3,male,19.0,S,0,7.8958
878,3,male,29.0,S,0,7.8958
879,1,female,54.5,C,1,65.6344
880,2,female,25.0,S,1,26.0
881,3,male,33.0,S,0,7.8958
882,3,female,22.0,S,0,10.5167
883,2,male,28.0,S,0,10.5
884,3,male,25.0,S,0,7.05
885,3,female,39.0,Q,0,29.125
886,2,male,27.0,S,0,13.0
887,1,female,19.0,S,1,30.0
888,3,female,29.0,S,0,23.45
889,1,male,26.0,C,1,30.0
890,3,male,32.0,Q,0,7.75
